DT. MOV;CD.OPER;OPERACAO;HIST. AUX; CONCIL.;ESPECIE;NR. DOC;CREDITO;DEBITO;DIFERENCA
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1268970679018641;Sim;Adiantamento (saída cx.);LU-126897067901;102,26;;
3/10/2024;1321;CANCELAMENTO MARKETPLACE;;Não;Adiantamento (saída cx.);LU-126897067901;;116,42;
3/10/2024;1322;CANCELAMENTO TAXA MARKETPLACE;;Não;Adiantamento (saída cx.);LU-126897067901;11,25;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1282670689297020;Sim;Adiantamento (saída cx.);LU-128267068929;22,77;;
3/10/2024;1321;CANCELAMENTO MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128267068929;;26,29;
3/10/2024;1322;CANCELAMENTO TAXA MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128267068929;10,68;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1285570691879270;Não;Adiantamento (saída cx.);LU-128557069187;28,52;;
3/10/2024;1321;CANCELAMENTO MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;;305,68;
3/10/2024;1295;ENTRADA CREDEV DO CLIENTE;CLIENTE  1767894   DATA  12 09 2024;Não;Adiantamento (saída cx.);LU-128567069198;305,68;;
3/10/2024;1321;CANCELAMENTO MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;;305,68;
3/10/2024;1322;CANCELAMENTO TAXA MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;29,43;;
3/10/2024;1321;CANCELAMENTO MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;;305,68;
3/10/2024;1322;CANCELAMENTO TAXA MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;29,43;;
3/10/2024;1321;CANCELAMENTO MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;;305,67;
3/10/2024;1322;CANCELAMENTO TAXA MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;29,42;;
3/10/2024;1321;CANCELAMENTO MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;;305,68;
3/10/2024;1322;CANCELAMENTO TAXA MARKETPLACE;;Não;Adiantamento (saída cx.);LU-128567069198;29,43;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1286170692350196;Não;Adiantamento (saída cx.);LU-128617069235;7,18;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1286270692412811;Não;Adiantamento (saída cx.);LU-128627069241;38,29;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1286470692597426;Não;Adiantamento (saída cx.);LU-128647069259;7,78;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1286770692926616;Não;Adiantamento (saída cx.);LU-128677069292;6,05;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1287070693170362;Não;Adiantamento (saída cx.);LU-128707069317;7,79;;
3/10/2024;1318;LIQUIDACAO DE MARKETPLACE;LU 1287070693180827;Não;Adiantamento (saída cx.);LU-128707069318;7,79;;
