NR. DOC;CREDITO;DEBITO;DIFERENCA_TX-COMISSAO;LIQ_MARKETPLACE;BX_MARKETPLACE;DIFERENCA_BX-MANUAL
LU-126897067901;113,51;116,42;-2,91;0,00;0,00;0,00
LU-128267068929;33,45;26,29;7,16;0,00;0,00;0,00
LU-128777069367;162,87;167,04;-4,17;0,00;0,00;0,00
LU-128827069401;20,97;21,50;-0,53;0,00;0,00;0,00
LU-128887069452;66,52;68,22;-1,70;0,00;0,00;0,00
LU-128937069528;184,65;170,81;13,84;0,00;0,00;0,00
LU-129277069854;64,06;65,69;-1,63;0,00;0,00;0,00
LU-129777070288;115,54;118,49;-2,95;0,00;0,00;0,00
LU-130057070409;11,91;12,21;-0,30;0,00;0,00;0,00
LU-130117070464;137,11;140,61;-3,50;0,00;0,00;0,00
LU-130127070498;15,81;11,68;4,13;0,00;0,00;0,00
LU-130127070502;32,43;33,25;-0,82;0,00;0,00;0,00
LU-130137070542;118,57;121,61;-3,04;0,00;0,00;0,00
LU-130147070555;119,85;106,59;13,26;0,00;0,00;0,00
LU-130157070563;130,92;134,26;-3,34;0,00;0,00;0,00
LU-130187070596;120,35;123,42;-3,07;0,00;0,00;0,00
LU-130267070663;13,62;13,95;-0,33;0,00;0,00;0,00
LU-130387070739;104,14;106,80;-2,66;0,00;0,00;0,00
LU-130397070745;212,28;134,49;77,79;0,00;0,00;0,00
LU-130477070803;120,87;123,97;-3,10;0,00;0,00;0,00
LU-130507070830;57,48;58,94;-1,46;0,00;0,00;0,00
LU-130717070957;242,11;248,30;-6,19;0,00;0,00;0,00
LU-131037071167;21,94;22,49;-0,55;0,00;0,00;0,00
LU-131077071193;136,09;139,57;-3,48;0,00;0,00;0,00
LU-131257071294;119,37;122,42;-3,05;0,00;0,00;0,00
LU-132207071932;123,34;126,50;-3,16;0,00;0,00;0,00
LU-132367072018;14,39;14,74;-0,35;0,00;0,00;0,00
LU-134477073321;115,62;118,58;-2,96;0,00;0,00;0,00
LU-134737073480;306,17;314,02;-7,85;0,00;0,00;0,00
LU-135487073962;652,14;734,90;-82,76;0,00;0,00;0,00
LU-135597074024;355,12;399,90;-44,78;0,00;0,00;0,00
LU-135797074133;346,41;399,90;-53,49;0,00;0,00;0,00
LU-135807074138;2456,41;2839,95;-383,54;0,00;0,00;0,00
LU-135917074207;0,00;0,00;-1,36;30,76;32,12;-1,36
LU-135917074208;0,00;0,00;-43,60;121,02;164,62;-43,60
LU-135947074228;235,55;241,79;-6,24;0,00;0,00;0,00
LU-135947074229;71,52;73,36;-1,84;0,00;0,00;0,00
LU-135957074233;128,26;131,64;-3,38;0,00;0,00;0,00
LU-135977074248;118,15;0,00;117,33;27,48;28,30;-0,82
LU-135997074273;0,00;0,00;13,27;88,72;75,45;13,27
LU-136017074291;0,00;0,00;-4,75;27,78;32,53;-4,75
LU-136017074294;0,00;0,00;-2,09;30,81;32,90;-2,09
LU-136027074301;27,02;0,00;12,44;15,16;29,74;-14,58
LU-136027074309;0,00;0,00;-8,17;81,10;89,27;-8,17
LU-136027074310;158,78;163,01;-4,23;0,00;0,00;0,00
LU-136027074311;0,00;0,00;-1,46;12,25;13,71;-1,46
LU-136047074316;0,00;0,00;-87,52;787,92;875,44;-87,52
LU-136047074319;0,00;0,00;13,83;95,04;81,21;13,83
LU-136047074323;0,00;0,00;-15,50;44,64;60,14;-15,50
LU-136057074326;432,82;443,91;-13,81;28,56;31,28;-2,72
LU-136077074336;0,00;0,00;16,92;77,03;60,11;16,92
LU-136087074346;0,00;0,00;-4,66;16,88;21,54;-4,66
LU-136107074351;0,00;0,00;-0,85;8,53;9,38;-0,85
LU-136117074357;392,82;402,89;-14,21;52,69;56,83;-4,14
LU-136127074363;0,00;0,00;-0,85;8,53;9,38;-0,85
LU-136127074368;0,00;0,00;52,35;388,74;336,39;52,35
LU-136137074376;135,26;138,72;-3,46;0,00;0,00;0,00
LU-136157074389;1560,25;1600,26;-40,01;0,00;0,00;0,00
LU-136167074397;975,19;1000,19;-25,00;0,00;0,00;0,00
LU-136177074399;0,00;0,00;-1,64;17,14;18,78;-1,64
LU-136187074407;0,00;0,00;-2,84;85,02;87,86;-2,84
LU-136197074418;0,00;0,00;-4,45;48,33;52,78;-4,45
